"label","id","Degree","Betweenness","Pagerank","Cluster","Strain","Diameter","Count","N","Essential","Var","Location.Tag","Tag1","Tag2","Tag3","Category1","Category2","Category3","No..of.Categories","Gene.Name","Gene.Description","Essential.Count","Essential.Call","TIGR4.new","TAIWAN.19F.old","TAIWAN.19F.new","D39.old","D39.new"
"SP_0324",80,2,243.25,0.0741688618380282,190,"TIGR4",0.00129411764705882,370,370,FALSE,1.43050548388289,"Membrane","ENVIRONMENTAL INFORMATION PROCESSING","METABOLISM",NA,"Membrane transport","Carbohydrate metabolism",NA,2,"","PTS system transporter subunit IIC",0,"Nonessential","SP_RS01575","SPT_0373","SPT_RS01890","SPD_0296","SPD_RS01580"
"SP_0325",81,2,243.25,0.0741688618380283,1808,"TIGR4",0.00440077230269079,370,370,FALSE,2.0045514152982,"Membrane","ENVIRONMENTAL INFORMATION PROCESSING","METABOLISM",NA,"Membrane transport","Carbohydrate metabolism",NA,2,"","PTS system transporter subunit IID",0,"Nonessential","SP_RS01580","SPT_0374","SPT_RS01895","SPD_0297","SPD_RS01585"
"SP_0326",82,2,243.25,0.0741688618380282,3671,"TIGR4",0.0188184783418766,370,370,FALSE,1.16246818767819,"Membrane","ENVIRONMENTAL INFORMATION PROCESSING",NA,NA,"Membrane transport",NA,NA,1,"YajC","preprotein translocase subunit YajC",0,"Nonessential","SP_RS01585","SPT_0375","SPT_RS01900","SPD_0298","SPD_RS01590"
"SP_0327",83,2,243.25,0.0741688618380282,3604,"TIGR4",0.0126046975786528,370,370,FALSE,1.17898241015276,"Intracellular","METABOLISM",NA,NA,"Carbohydrate metabolism",NA,NA,1,"","",0,"Nonessential","SP_RS01590","SPT_0376","SPT_RS01905","SPD_0300","SPD_RS01595"
"SP_0329",85,1,0,0.00331349910571757,1206,"TIGR4",0,1,1,FALSE,1.39922302739288,"Intracellular","METABOLISM",NA,NA,"Carbohydrate metabolism",NA,NA,1,"","",0,"Nonessential","SP_RS01600","n.p.","n.p","n.p.","n.p"
"SP_0338",86,1,0,0,3742,"TIGR4",0.00834045447158901,372,371,FALSE,2.26971544868303,"Intracellular","GENETIC INFORMATION PROCESSING",NA,NA,"Folding, sorting, degradation",NA,NA,1,"","ATP-dependent Clp protease ATP-binding subunit",0,"Nonessential","SP_RS01650","SPT_0388","SPT_RS01955","SPD_0308","SPD_RS01645"
"SP_2195",87,8,22.5,0,2470,"TIGR4",0.00142441899689302,372,371,FALSE,0.478403451551791,"Intracellular","GENETIC INFORMATION PROCESSING",NA,NA,"Transcription",NA,NA,1,"ctsR","Transcriptional regulator CtsR",0,"Nonessential","SP_RS11215","SPT_2214","SPT_RS10950","SPD_2023","SPD_RS10620"
"SP_0342",88,1,0,0.00260793452998253,3752,"TIGR4",0.0108884506038692,372,371,FALSE,1.40944388381397,"Intracellular","METABOLISM",NA,NA,"Carbohydrate metabolism",NA,NA,1,""," Glucan 1,6-alpha-glucosidase (EC 3.2.1.70)",0,"Nonessential","SP_RS01665","SPT_0391","SPT_RS01970","SPD_0311","SPD_RS01660"
"SP_0366",89,1,0,0.0103995791743156,3408,"TIGR4",0.259823574988216,1115,371,FALSE,2.31033253518416,"Membrane","ENVIRONMENTAL INFORMATION PROCESSING",NA,NA,"Membrane transport",NA,NA,1,"AliA","oligopeptide ABC transporter oligopeptide-binding protein AliA",0,"Nonessential","SP_RS01790","SPT_0410","SPT_RS02070","SPD_0334","SPD_RS01780"
"SP_0394",90,2,0,0.0775152234596482,655,"TIGR4",0.00603368668103373,165,164,FALSE,0.991848692285913,"Membrane","ENVIRONMENTAL INFORMATION PROCESSING","METABOLISM",NA,"Membrane transport","Carbohydrate metabolism",NA,2,"","PTS system mannitol-specific transporter subunit IIBC",0,"Nonessential","SP_RS01955","n.p.","n.p","SPD_0360","SPD_RS01930"
"SP_0395",91,6,1.5,0.0939923312861766,2346,"TIGR4",0.00410770713927748,164,163,FALSE,1.58381782689846,"Intracellular","GENETIC INFORMATION PROCESSING",NA,NA,"Transcription",NA,NA,1,"","transcriptional regulator",0,"Nonessential","SP_RS01960","n.p.","n.p","SPD_0361","SPD_RS01935"
"SP_0396",92,2,0,0.0775152234596482,3386,"TIGR4",0.0130766171432332,165,164,FALSE,1.287048612091,"Membrane","ENVIRONMENTAL INFORMATION PROCESSING","METABOLISM",NA,"Membrane transport","Carbohydrate metabolism",NA,2,"","PTS system mannitol-specific transporter subunit IIA",0,"Nonessential","SP_RS01965","n.p.","n.p","SPD_0362","SPD_RS01940"
"SP_0397",93,2,0,0.0775152234596482,2032,"TIGR4",0.00654136733946954,166,164,FALSE,0.887568064425629,"Intracellular","METABOLISM",NA,NA,"Carbohydrate metabolism",NA,NA,1,"","mannitol-1-phosphate 5-dehydrogenase",0,"Nonessential","SP_RS01970","n.p.","n.p","SPD_0363","SPD_RS01945"
"SP_0400",94,1,0,0.0708553627323106,3592,"TIGR4",0.0054802839129437,372,371,FALSE,0.399815245926633,"Intracellular","GENETIC INFORMATION PROCESSING",NA,NA,"Folding, sorting, degradation",NA,NA,1,"tig","trigger factor",0,"Nonessential","SP_RS01985","SPT_0438","SPT_RS02210","SPD_0365","SPD_RS01960"
"SP_0410",95,1,0,0.0708553627323106,2533,"TIGR4",0.00611749331419334,372,371,FALSE,0.478875181538526,"Membrane","ENVIRONMENTAL INFORMATION PROCESSING",NA,NA,"Membrane transport",NA,NA,1,"","exfoliative toxin",0,"Nonessential","SP_RS02030","SPT_0447","SPT_RS02255","SPD_0374","SPD_RS02005"
"SP_0415",96,1,0,0,1150,"TIGR4",0.00110543228768172,371,370,TRUE,0.993429570323105,"Intracellular","METABOLISM",NA,NA,"Lipid metabolism",NA,NA,1,"","enoyl-CoA hydratase",14,"Evolvable.Essential","SP_RS02050","SPT_0452","SPT_RS02275","SPD_0378","SPD_RS02025"
"SP_0416",97,14,66,0,3563,"TIGR4",0.000635586206896548,372,371,FALSE,0.888010014205854,"Intracellular","GENETIC INFORMATION PROCESSING",NA,NA,"Transcription",NA,NA,1,"","MarR family transcriptional regulator",5,"Evolvable.Essential","SP_RS02055","SPT_0453","SPT_RS02280","SPD_0379","SPD_RS02030"
"SP_0417",98,1,0,0,2583,"TIGR4",0.00250938472374936,372,371,TRUE,0.950138513176796,"Intracellular","METABOLISM",NA,NA,"Lipid metabolism",NA,NA,1,"","3-oxoacyl-ACP synthase",15,"Essential","SP_RS02060","SPT_0454","SPT_RS02285","SPD_0380","SPD_RS02035"
"SP_0418",99,1,0,0,2403,"TIGR4",0,372,371,TRUE,1.20421688043634,"Intracellular","METABOLISM",NA,NA,"Lipid metabolism",NA,NA,1,"acpP","acyl carrier protein",8,"Evolvable.Essential","SP_RS02065","SPT_0455","SPT_RS02290","SPD_0381","SPD_RS02040"
"SP_0419",100,1,0,0,1230,"TIGR4",0.00239234948856179,372,371,TRUE,0.661178896166583,"Intracellular","METABOLISM",NA,NA,"Lipid metabolism",NA,NA,1,"","enoyl-ACP reductase (EC 1.3.1.9)",15,"Essential","SP_RS02070","SPT_0456","SPT_RS02295","SPD_0382","SPD_RS02045"
"SP_0420",101,1,0,0,3455,"TIGR4",0.00177411085284699,372,371,TRUE,0.56186822491481,"Intracellular","METABOLISM",NA,NA,"Lipid metabolism",NA,NA,1,"","ACP S-malonyltransferase (EC 2.3.1.39)",15,"Essential","SP_RS02075","SPT_0457","SPT_RS02300","SPD_0383","SPD_RS02050"
"SP_0421",102,1,0,0,4083,"TIGR4",0.00235360557703392,372,371,TRUE,0.69950229596941,"Intracellular","METABOLISM",NA,NA,"Lipid metabolism",NA,NA,1,"fabG","3-ketoacyl-ACP reductase (EC 1.1.1.100)",15,"Essential","SP_RS02080","SPT_0458","SPT_RS02305","SPD_0384","SPD_RS02055"
"SP_0422",103,1,0,0,2868,"TIGR4",0.00040642507912197,372,371,TRUE,0.742666170822694,"Intracellular","METABOLISM",NA,NA,"Lipid metabolism",NA,NA,1,"fabF","3-oxoacyl-ACP synthase (EC 2.3.1.179)",15,"Essential","SP_RS02085","SPT_0459","SPT_RS02310","SPD_0385","SPD_RS02060"
"SP_0423",104,1,0,0,1953,"TIGR4",0.002436,372,371,TRUE,0.790297712853807,"Intracellular","METABOLISM",NA,NA,"Lipid metabolism",NA,NA,1,"accB","acetyl-CoA carboxylase biotin carboxyl carrier protein subunit",15,"Essential","SP_RS02090","SPT_0460","SPT_RS02315","SPD_0386","SPD_RS02065"
"SP_0424",105,1,0,0,1870,"TIGR4",0.00802946488334281,372,371,TRUE,0.873319955330646,"Intracellular","METABOLISM",NA,NA,"Lipid metabolism",NA,NA,1,"fabZ","(3R)-hydroxymyristoyl-ACP dehydratase",15,"Essential","SP_RS02095","SPT_0461","SPT_RS02320","SPD_0387","SPD_RS02070"
"SP_0425",106,1,0,0,2826,"TIGR4",0.000546326133415029,372,371,FALSE,0.955458818564461,"Intracellular","METABOLISM",NA,NA,"Lipid metabolism",NA,NA,1,"accC","acetyl-CoA carboxylase biotin carboxylase subunit",15,"Essential","SP_RS02100","SPT_0462","SPT_RS02325","SPD_0388","SPD_RS02075"
"SP_0426",107,1,0,0,1096,"TIGR4",0.000480981595092025,372,371,TRUE,0.771186741459248,"Intracellular","METABOLISM",NA,NA,"Lipid metabolism",NA,NA,1,"accD","acetyl-CoA carboxylase subunit beta",15,"Essential","SP_RS02105","SPT_0463","SPT_RS02330","SPD_0389","SPD_RS02080"
"SP_0427",108,1,0,0,3764,"TIGR4",0.00218681090503597,372,371,TRUE,0.800224983584207,"Intracellular","METABOLISM",NA,NA,"Lipid metabolism",NA,NA,1,"accA","acetyl-CoA carboxylase subunit alpha",15,"Essential","SP_RS02110","SPT_0464","SPT_RS02335","SPD_0390","SPD_RS02085"
"SP_0445",109,1,0,0.0103995791743156,3472,"TIGR4",0.000283490354099063,372,371,FALSE,2.42248967808808,"Intracellular","METABOLISM",NA,NA,"Amino acid metabolism",NA,NA,1,"ilvB","acetolactate synthase catalytic subunit (EC 2.2.1.6)",0,"Nonessential","SP_RS02190","SPT_0481","SPT_RS02410","SPD_0404","SPD_RS02150"
"SP_0446",110,1,0,0.0103995791743156,2811,"TIGR4",0.000205098615772976,372,371,FALSE,1.98782223896484,"Intracellular","METABOLISM",NA,NA,"Amino acid metabolism",NA,NA,1,"ilvH","acetolactate synthase 3 regulatory subunit (EC 2.2.1.6)",0,"Nonessential","SP_RS02195","SPT_0482","SPT_RS02415","SPD_0405","SPD_RS02155"
"SP_0447",111,1,0,0.0103995791743156,1117,"TIGR4",0.00294838713379539,372,371,FALSE,1.73757989553521,"Intracellular","METABOLISM",NA,NA,"Amino acid metabolism",NA,NA,1,"ilvC","ketol-acid reductoisomerase (EC 1.1.1.86)",0,"Nonessential","SP_RS02200","SPT_0483","SPT_RS02420","SPD_0406","SPD_RS02160"
"SP_0448",112,1,0,0.0103995791743156,1383,"TIGR4",0.0215718970879676,370,370,FALSE,2.50650750011375,NA,"HYPOTHETICAL/UNKNOWN",NA,NA,NA,NA,NA,1,"","",0,"Nonessential","SP_RS02205","SPT_0484","SPT_RS02425","SPD_0407","SPD_RS02165"
"SP_0449",113,1,0,0.0103995791743156,2348,"TIGR4",0.00239936480498278,372,371,FALSE,2.22057934756408,NA,"HYPOTHETICAL/UNKNOWN",NA,NA,NA,NA,NA,1,"","",0,"Nonessential","SP_RS02210","SPT_0485","SPT_RS02430","SPD_0408","SPD_RS02170"
"SP_0450",114,1,0,0.0103995791743156,2112,"TIGR4",0.00122934673116972,372,371,FALSE,5.46242019558494,"Intracellular","METABOLISM",NA,NA,"Amino acid metabolism",NA,NA,1,"ilvA","L-threonine dehydratase (EC 4.3.1.19) (Threonine deaminase)",0,"Nonessential","SP_RS02215","SPT_0486","SPT_RS02435","SPD_0409","SPD_RS02175"
"SP_0459",115,1,0,0.0708553627323106,2828,"TIGR4",0.000623113789428253,372,371,FALSE,1.09140934956369,"Intracellular","METABOLISM",NA,NA,"Carbohydrate metabolism",NA,NA,1,"","formate acetyltransferase",0,"Nonessential","SP_RS02265","SPT_0498","SPT_RS02485","SPD_0420","SPD_RS02225"
"SP_0473",116,5,0.5,0.0880165426560465,3495,"TIGR4",0.000661876489951793,191,191,FALSE,1.08689902973139,"Intracellular","GENETIC INFORMATION PROCESSING",NA,NA,"Transcription",NA,NA,1,"","ROK family protein",0,"Nonessential","SP_RS02335","SPT_0514","SPT_RS02560","SPD_0423","SPD_RS02255"
"SP_0474",117,2,0,0.0770918067886487,3074,"TIGR4",0.0361336655353366,192,191,FALSE,1.75836656744079,"Membrane","ENVIRONMENTAL INFORMATION PROCESSING","METABOLISM",NA,"Membrane transport","Carbohydrate metabolism",NA,2,"","PTS system cellobiose-specific transporter subunit IIC",0,"Nonessential","SP_RS02340","SPT_0515","SPT_RS02565","SPD_0424","SPD_RS02260"
"SP_0475",118,2,0,0.0770918067886488,4100,"TIGR4",0.00895511382405329,190,190,FALSE,1.80032048506306,NA,"HYPOTHETICAL/UNKNOWN",NA,NA,NA,NA,NA,1,"","",0,"Nonessential","SP_RS02345","SPT_0516","SPT_RS02570","SPD_0425","SPD_RS02265"
"SP_0481",119,1,0,2.70115135137498e-06,3438,"TIGR4",0.000654643420610471,372,371,FALSE,0.376738662996376,NA,"HYPOTHETICAL/UNKNOWN",NA,NA,NA,NA,NA,1,"","",0,"Nonessential","SP_RS02375","SPT_0522","SPT_RS02600","SPD_0431","SPD_RS02295"
"SP_0482",120,1,0,2.70115135137523e-06,1424,"TIGR4",0.00731038386884812,372,371,FALSE,0.358614195654351,NA,"HYPOTHETICAL/UNKNOWN",NA,NA,NA,NA,NA,1,"","",0,"Nonessential","SP_RS02380","SPT_0523","SPT_RS02605","SPD_0432","SPD_RS02300"
"SP_0483",121,1,0,2.70115135137448e-06,748,"TIGR4",0.011295773069712,372,371,FALSE,0.369952266175201,"Membrane","ENVIRONMENTAL INFORMATION PROCESSING",NA,NA,"Membrane transport",NA,NA,1,"","ABC transporter ATP-binding protein",0,"Nonessential","SP_RS02390","SPT_0525","SPT_RS02615","SPD_0434","SPD_RS02310"
"SP_0484",122,1,0,2.70115135137622e-06,826,"TIGR4",0.00687520704307414,372,371,FALSE,0.546132432479819,"Membrane","ENVIRONMENTAL INFORMATION PROCESSING",NA,NA,"Membrane transport",NA,NA,1,"","",0,"Nonessential","SP_RS02395","SPT_0526","SPT_RS02620","SPD_0435","SPD_RS02315"
"SP_0498",123,1,0,0.0708553627323107,2836,"TIGR4",0.011857621393977,389,370,FALSE,1.69251732800907,"Intracellular","METABOLISM",NA,NA,"Carbohydrate metabolism",NA,NA,1,"","Endo-beta-N-acetylglucosaminidase (EC 3.2.1.96)",0,"Nonessential","SP_RS02450","SPT_0535","SPT_RS02670","SPD_0444","SPD_RS02360"
"SP_0501",124,14,2524.55,0.00158317266696161,2693,"TIGR4",0.0117342228494451,375,371,FALSE,1.93588608708837,"Intracellular","GENETIC INFORMATION PROCESSING",NA,NA,"Transcription",NA,NA,1,"","MerR family transcriptional regulator",2,"Evolvable.Essential","SP_RS02465","SPT_0538","SPT_RS02685","SPD_0447","SPD_RS02375"
"SP_0502",125,1,0,0.000112176273585445,1552,"TIGR4",0.00140287921554898,378,371,FALSE,1.94163917915244,"Intracellular","METABOLISM",NA,NA,"Amino acid metabolism",NA,NA,1,"glnA","Glutamine synthetase, type I",1,"Evolvable.Essential","SP_RS02470","SPT_0539","SPT_RS02690","SPD_0448","SPD_RS02380"
"SP_0515",126,5,7.5,0,3054,"TIGR4",0.00670411789560652,373,371,FALSE,1.47478698885692,"Intracellular","GENETIC INFORMATION PROCESSING",NA,NA,"Transcription",NA,NA,1,"hrcA","MerR family transcriptional regulator",5,"Evolvable.Essential","SP_RS02520","SPT_0548","SPT_RS02730","SPD_0458","SPD_RS02430"
"SP_0516",127,1,0,0,3682,"TIGR4",0.00399240532452791,373,371,FALSE,1.37406269751828,"Intracellular","GENETIC INFORMATION PROCESSING",NA,NA,"Folding, sorting, degradation",NA,NA,1,"grpE","heat shock protein",12,"Evolvable.Essential","SP_RS02525","SPT_0549","SPT_RS02735","SPD_0459","SPD_RS02435"
"SP_0576",128,1,0,0.0708553627323106,3175,"TIGR4",0.00297095072313958,371,370,FALSE,3.72511088058349,"Intracellular","GENETIC INFORMATION PROCESSING",NA,NA,"Transcription",NA,NA,1,"","Transcription antiterminator Lict",0,"Nonessential","SP_RS02850","SPT_0606","SPT_RS03020","SPD_0501","SPD_RS02695"
"SP_0577",129,1,0,0.0708553627323106,1516,"TIGR4",0.00830268828525449,371,370,FALSE,1.79593863155833,"Membrane","ENVIRONMENTAL INFORMATION PROCESSING",NA,NA,"Membrane transport",NA,NA,1,"","PTS system beta-glucosides-specific transporter subunit IIABC",0,"Nonessential","SP_RS02855","SPT_0607","SPT_RS03025","SPD_0502","SPD_RS02700"
"SP_0578",130,1,0,0.0708553627323106,1704,"TIGR4",0.250854132035305,631,370,FALSE,1.44430610619332,"Intracellular","METABOLISM",NA,NA,"Carbohydrate metabolism",NA,NA,1,"bglA-2","Beta-glucosidase/6-phospho-beta-glucosidase/beta- galactosidase",0,"Nonessential","SP_RS02860","SPT_0608","SPT_RS03030","SPD_0503","SPD_RS02705"
"SP_0585",131,2,2288,0.000168532643101122,3684,"TIGR4",0.00672697231713489,372,371,FALSE,1.39066118810795,"Intracellular","METABOLISM",NA,NA,"Amino acid metabolism",NA,NA,1,"metE","5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase",0,"Nonessential","SP_RS02900","SPT_0615","SPT_RS03070","SPD_0510","SPD_RS02745"
"SP_0586",132,2,2288,0.000168532643101119,303,"TIGR4",0.00946883615399718,372,371,FALSE,0.59021142992109,"Intracellular","METABOLISM",NA,NA,"Amino acid metabolism",NA,NA,1,"","5,10-methylenetetrahydrofolate reductase",0,"Nonessential","SP_RS02905","SPT_0616","SPT_RS03075","SPD_0511","SPD_RS02750"
"SP_0605",133,2,725.55,0.0725337156221735,2894,"TIGR4",0,372,371,TRUE,0.601128754473107,"Intracellular","METABOLISM","METABOLISM",NA,"Carbohydrate metabolism","Energy metabolism",NA,2,"fba","fructose-bisphosphate aldolase",15,"Essential","SP_RS02975","SPT_0631","SPT_RS03145","SPD_0526","SPD_RS02820"
"SP_0607",134,1,0,0.000112176273585445,3819,"TIGR4",0.0127660559013362,328,327,FALSE,0.404438969399258,"Membrane","ENVIRONMENTAL INFORMATION PROCESSING","METABOLISM",NA,"Membrane transport","Amino acid metabolism",NA,2,"hisM","ABC-type amino acid transport system, permease component",0,"Nonessential","SP_RS02985","SPT_0633","SPT_RS03155","SPD_0528","SPD_RS02830"
"SP_0608",135,1,0,0.000112176273585445,3697,"TIGR4",0.0535428934244634,371,371,FALSE,0.62334645617222,"Membrane","ENVIRONMENTAL INFORMATION PROCESSING","METABOLISM",NA,"Membrane transport","Amino acid metabolism",NA,2,"hisM","ABC-type amino acid transport system, permease component",0,"Nonessential","SP_RS02990","SPT_0634","SPT_RS03160","SPD_0529","SPD_RS02835"
"SP_0609",136,1,0,0.000112176273585445,3769,"TIGR4",0.0233352466111177,382,370,FALSE,0.517075532083835,"Membrane","ENVIRONMENTAL INFORMATION PROCESSING","METABOLISM",NA,"Membrane transport","Amino acid metabolism",NA,2,"","amino acid ABC transporter, amino acid-binding protein",0,"Nonessential","SP_RS02995","SPT_0635","SPT_RS03165","SPD_0530","SPD_RS02840"
"SP_0610",137,1,0,0.000112176273585444,51,"TIGR4",0.416353070609303,1974,371,FALSE,0.40392786785809,"Membrane","ENVIRONMENTAL INFORMATION PROCESSING","METABOLISM",NA,"Membrane transport","Amino acid metabolism",NA,2,"glnQ","ABC-type polar amino acid transport system, ATPase component",6,"Evolvable.Essential","SP_RS03000","SPT_0636","SPT_RS03170","SPD_0531","n.p"
"SP_0620",138,1,0,0.000165831491749746,806,"TIGR4",0.241980874966132,806,371,FALSE,3.5733171328255,"Membrane","ENVIRONMENTAL INFORMATION PROCESSING","METABOLISM",NA,"Membrane transport","Amino acid metabolism",NA,2,"tcyK","putative amino acid ABC transporter, amino acid-binding protein",0,"Nonessential","SP_RS03045","SPT_0645","SPT_RS03215","SPD_0540","SPD_RS02895"
"SP_0636",139,1,0,0.0708553627323106,580,"TIGR4",0.0628788784978221,492,371,FALSE,0.485455428220041,"Membrane","ENVIRONMENTAL INFORMATION PROCESSING",NA,NA,"Membrane transport",NA,NA,1,"","ABC transporter ATPase",0,"Nonessential","SP_RS03115","SPT_0661","SPT_RS03285","SPD_0554","SPD_RS02960"
"SP_0637",140,1,0,0.0708553627323106,2616,"TIGR4",0.0889471959950129,468,371,FALSE,0.462045999754984,"Membrane","ENVIRONMENTAL INFORMATION PROCESSING",NA,NA,"Membrane transport",NA,NA,1,"","ABC transporter permease",0,"Nonessential","SP_RS03120","SPT_0662","SPT_RS03290","SPD_0555","SPD_RS02965"
"SP_0638",141,1,0,0.0708553627323106,2967,"TIGR4",0.090885603562823,491,371,FALSE,0.428160980458757,"Membrane","ENVIRONMENTAL INFORMATION PROCESSING",NA,NA,"Membrane transport",NA,NA,1,"","ABC transporter permease",0,"Nonessential","SP_RS03125","SPT_0663","SPT_RS03295","SPD_0556","SPD_RS02970"
"SP_0641",142,1,0,0,2725,"TIGR4",0,1,369,FALSE,3.71746398266783,"Intracellular","GENETIC INFORMATION PROCESSING",NA,NA,"Folding, sorting, degradation",NA,NA,1,"","serine protease",0,"Nonessential","SP_RS03145","SPT_0666","SPT_RS03315","SPD_0558","SPD_RS02990"
"SP_1638",143,4,6,0,583,"TIGR4",0.00542511501570976,372,371,FALSE,1.36523855812607,"Intracellular","GENETIC INFORMATION PROCESSING",NA,NA,"Transcription",NA,NA,1,"","Putative metal ion-dependent transcriptional regulator",2,"Evolvable.Essential","SP_RS08075","SPT_1577","SPT_RS07830","SPD_1450","SPD_RS07640"
"SP_0645",144,1,0,0.0708553627323106,2988,"TIGR4",0.0496242900782277,751,369,FALSE,2.06029147505949,"Membrane","ENVIRONMENTAL INFORMATION PROCESSING","METABOLISM",NA,"Membrane transport","Carbohydrate metabolism",NA,2,"ptsN","Phosphotransferase system mannitol/fructose-specific IIA domain",1,"Evolvable.Essential","SP_RS03155","SPT_1028","SPT_RS05075","SPD_0559","SPD_RS02995"
"SP_0646",145,1,0,0.0708553627323107,2795,"TIGR4",0.0539989582073008,708,361,FALSE,2.42147211713987,"Membrane","ENVIRONMENTAL INFORMATION PROCESSING","METABOLISM",NA,"Membrane transport","Carbohydrate metabolism",NA,2,"sgaB","Phosphotransferase system, galactitol-specific IIB component",5,"Evolvable.Essential","SP_RS03160","SPT_0668","SPT_RS03325","SPD_0560","SPD_RS03000"
"SP_0647",146,1,0,0.0708553627323106,2245,"TIGR4",0.00325870268474148,372,371,FALSE,2.42266847916569,"Membrane","ENVIRONMENTAL INFORMATION PROCESSING","METABOLISM",NA,"Membrane transport","Carbohydrate metabolism",NA,2,"sgcC","Phosphotransferase system, galactitol-specific IIC component",0,"Nonessential","SP_RS03165","SPT_0669","SPT_RS03330","SPD_0561","SPD_RS03005"
"SP_0668",147,1,0,0.0708553627323106,115,"TIGR4",0.00356328046657504,372,371,FALSE,0.935729517739233,"Intracellular","METABOLISM",NA,NA,"Carbohydrate metabolism",NA,NA,1,"gki","glucokinase",0,"Nonessential","SP_RS03280","SPT_0692","SPT_RS03445","SPD_0580","SPD_RS03110"
"SP_0709",148,2,2975.00000000001,0.0105654106660653,51,"TIGR4",0.416353070609303,1974,371,FALSE,0.859588894790243,"Membrane","ENVIRONMENTAL INFORMATION PROCESSING","METABOLISM",NA,"Membrane transport","Amino acid metabolism",NA,2,"glnQ","amino acid ABC transporter ATP-binding protein",6,"Evolvable.Essential","SP_RS03470","n.p.","n.p","SPD_0616","SPD_RS03295"
"SP_0710",149,2,2975.00000000001,0.0105654106660653,691,"TIGR4",0.422076433567341,759,371,FALSE,0.863126960207555,"Membrane","ENVIRONMENTAL INFORMATION PROCESSING","METABOLISM",NA,"Membrane transport","Amino acid metabolism",NA,2,"hisM","ABC-type amino acid transport system, permease component",0,"Nonessential","SP_RS03475","SPT_0726","SPT_RS03620","SPD_0617","SPD_RS03300"
"SP_0711",150,2,2975.00000000001,0.0105654106660653,691,"TIGR4",0.422076433567341,759,371,FALSE,1.14214672662283,"Membrane","ENVIRONMENTAL INFORMATION PROCESSING","METABOLISM",NA,"Membrane transport","Amino acid metabolism",NA,2,"hisM","ABC-type amino acid transport system, permease component",0,"Nonessential","SP_RS03480","SPT_0727","SPT_RS03625","SPD_0618","SPD_RS03305"
"SP_0715",151,1,0,0.0708553627323106,822,"TIGR4",0.00202101926070101,371,370,FALSE,0.7015706238065,"Intracellular","METABOLISM",NA,NA,"Various metabolism",NA,NA,1,"lctO-2","lactate oxidase",0,"Nonessential","SP_RS03500","SPT_0731","SPT_RS03645","SPD_0621","SPD_RS03320"
"SP_0727",152,4,1,0,3414,"TIGR4",0.00637463254882671,372,371,FALSE,5.25496556629909,"Intracellular","GENETIC INFORMATION PROCESSING",NA,NA,"Transcription",NA,NA,1,"","putative transcriptional repressor",0,"Nonessential","SP_RS03560","SPT_0743","SPT_RS03705","SPD_0633","SPD_RS03380"
"SP_0728",153,1,0,0,625,"TIGR4",0.00714937386652375,372,371,FALSE,4.32628763407489,"Membrane","ENVIRONMENTAL INFORMATION PROCESSING",NA,NA,"Membrane transport",NA,NA,1,"","Copper-exporting ATPase",0,"Nonessential","SP_RS03565","SPT_0744","SPT_RS03710","SPD_0634","SPD_RS03385"
"SP_0729",154,1,0,0,3776,"TIGR4",0.00580491075832275,372,371,FALSE,3.61581709822,"Membrane","ENVIRONMENTAL INFORMATION PROCESSING",NA,NA,"Membrane transport",NA,NA,1,"","Copper-translocating P-type ATPase",0,"Nonessential","SP_RS03570","SPT_0745","SPT_RS03715","SPD_0635","SPD_RS03390"
"SP_0746",155,1,0,0,3088,"TIGR4",0.000516381347746562,371,370,FALSE,2.64788777221574,"Intracellular","GENETIC INFORMATION PROCESSING",NA,NA,"Folding, sorting, degradation",NA,NA,1,"clpP","ATP-dependent Clp protease proteolytic subunit",6,"Evolvable.Essential","SP_RS03655","SPT_0761","SPT_RS03790","SPD_0650","SPD_RS03465"
"SP_0749",156,2,0,0.0812549419066262,1295,"TIGR4",0.0045999437352167,372,371,FALSE,1.77315698613567,"Cell Wall","ENVIRONMENTAL INFORMATION PROCESSING","METABOLISM",NA,"Membrane transport","Amino acid metabolism",NA,2,"livK","High-affinity leucine-specific transport system, periplasmic binding protein LivK",0,"Nonessential","SP_RS03665","SPT_0763","SPT_RS03800","SPD_0652","SPD_RS03475"
"SP_0750",157,2,0,0.0812549419066262,2737,"TIGR4",0.00286113163708678,372,371,FALSE,3.2656151715194,"Membrane","ENVIRONMENTAL INFORMATION PROCESSING","METABOLISM",NA,"Membrane transport","Amino acid metabolism",NA,2,"livH","branched-chain amino acid ABC transporter, permease protein",0,"Nonessential","SP_RS03670","SPT_0764","SPT_RS03805","SPD_0653","SPD_RS03480"
"SP_0751",158,2,0,0.0812549419066262,541,"TIGR4",0.002038608866859,372,371,FALSE,1.80188361467115,"Membrane","ENVIRONMENTAL INFORMATION PROCESSING","METABOLISM",NA,"Membrane transport","Amino acid metabolism",NA,2,"livM","Branched-chain amino acid transport system permease protein LivM",0,"Nonessential","SP_RS03675","SPT_0765","SPT_RS03810","SPD_0654","SPD_RS03485"
"SP_0752",159,2,0,0.0812549419066262,316,"TIGR4",0.0029262921692152,372,371,FALSE,2.04835312838606,"Intracellular","ENVIRONMENTAL INFORMATION PROCESSING","METABOLISM",NA,"Membrane transport","Amino acid metabolism",NA,2,"livG","branched-chain amino acid ABC transporter ATP-binding protein",0,"Nonessential","SP_RS03680","SPT_0766","SPT_RS03815","SPD_0655","SPD_RS03490"
